21, 23, 22, 19, 23, 24, 21, 21	0
22, 25, 22, 21, 23, 25, 21, 21	0
16, 24, 21, 22, 21, 22, 24, 22	0
19, 22, 22, 24, 21, 24, 25, 20	0
20, 21, 22, 23, 21, 27, 22, 21	0
22, 21, 22, 23, 22, 25, 24, 22	0
20, 22, 23, 22, 20, 21, 19, 21	0
20, 23, 21, 23, 21, 20, 19, 23	0
21, 21, 22, 23, 20, 25, 20, 20	0
21, 22, 21, 23, 19, 24, 20, 18	0
21, 19, 25, 19, 21, 21, 21, 20	0
22, 18, 25, 22, 20, 20, 20, 21	0
21, 24, 24, 23, 23, 24, 18, 20	0
23, 24, 25, 22, 23, 22, 18, 23	0
20, 22, 22, 21, 22, 22, 23, 19	0
19, 20, 27, 20, 22, 25, 20, 21	0
19, 21, 25, 21, 23, 26, 21, 20	0
20, 22, 26, 23, 25, 25, 24, 18	0
22, 21, 26, 20, 21, 20, 22, 23	0
21, 23, 18, 24, 20, 21, 21, 21	0
21, 23, 20, 24, 22, 21, 21, 21	0
21, 21, 24, 22, 22, 23, 25, 22	0
22, 21, 24, 21, 21, 22, 25, 22	0
20, 24, 21, 22, 24, 21, 20, 21	0
20, 23, 21, 22, 25, 22, 21, 22	0
19, 21, 22, 20, 20, 21, 21, 21	0
20, 22, 23, 20, 23, 21, 21, 22	0
20, 20, 23, 21, 21, 22, 20, 22	0
22, 21, 23, 22, 23, 21, 18, 21	0
21, 22, 24, 21, 21, 22, 21, 19	0
21, 22, 26, 22, 24, 23, 19, 21	0
21, 23, 21, 24, 20, 24, 22, 23	0
21, 23, 22, 25, 20, 24, 20, 25	0
19, 24, 25, 25, 23, 27, 22, 20	0
19, 23, 29, 24, 24, 21, 20, 22	0
18, 21, 28, 24, 24, 20, 22, 23	0
19, 22, 27, 24, 25, 19, 21, 24	0
21, 21, 24, 26, 24, 21, 21, 22	0
19, 22, 25, 24, 21, 20, 21, 24	0
20, 23, 23, 25, 21, 21, 23, 23	0
21, 19, 27, 20, 24, 24, 20, 23	0
22, 20, 26, 19, 24, 23, 19, 23	0
23, 24, 29, 29, 24, 21, 21, 21	0
22, 22, 29, 30, 24, 21, 20, 20	0
21, 22, 28, 27, 23, 21, 19, 21	0
133, 175, 45, 36, 39, 29, 24, 48	0
